SiO2,Al2O3,CaO,MgO,SrO,B2O3,Sb2O3,YoungModulus,Density293K,CTEbelowTg,Tstrain,Tsoft
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.203000068664551,4.784011594634452e-07,,
0.5,0.0,0.5,0.0,0.0,0.0,0.0,,2.9040000438690186,9.464866708543569e-06,,
0.5,0.25,0.25,0.0,0.0,0.0,0.0,,2.700000047683716,4.211744958877561e-06,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.20199990272522,1.202000045776367e-06,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.2049999237060547,4.784011594634452e-07,,
0.3696,0.1556,0.3961,0.0787,0.0,0.0,0.0,,,7.575333697064722e-06,,
0.3616361636163616,0.1522152215221522,0.3321332133213321,0.154015401540154,0.0,0.0,0.0,,,7.10356087493897e-06,,
0.3792999999999999,0.1916,0.3483,0.0808,0.0,0.0,0.0,,,6.9942952911376954e-06,,
0.3709,0.1873,0.2838,0.158,0.0,0.0,0.0,,,6.061346697489419e-06,,
0.4446,0.0582,0.4235,0.0737,0.0,0.0,0.0,,,8.54590000915527e-06,,
0.426957304269573,0.0558944105589441,0.304969503049695,0.2121787821217878,0.0,0.0,0.0,,,7.396086652119955e-06,,
0.446,0.0876,0.3186,0.1478,0.0,0.0,0.0,,,7.067863362630211e-06,,
0.4569,0.1197,0.272,0.1514,0.0,0.0,0.0,,,6.480186685816443e-06,,
0.4474,0.1172,0.2130999999999999,0.2223,0.0,0.0,0.0,,,6.8253833440144915e-06,,
0.4684,0.1533,0.2231,0.1552,0.0,0.0,0.0,,,6.389791662216182e-06,,
0.4584,0.1501,0.1637,0.2278,0.0,0.0,0.0,,,5.098908334414162e-06,,
0.4488,0.1469,0.1069,0.2974,0.0,0.0,0.0,,,5.296446671040852e-06,,
0.4396439643964396,0.1439143914391439,0.0523052305230523,0.3641364136413641,0.0,0.0,0.0,,,5.152879276911421e-06,,
0.4915,0.1931,0.234,0.0814,0.0,0.0,0.0,,,5.7161732938130695e-06,,
0.4746,0.0279999999999999,0.3559,0.1415,0.0,0.0,0.0,,,8.45489999389648e-06,,
0.4653465346534653,0.0274027402740274,0.2991299129912991,0.208120812081208,0.0,0.0,0.0,,,8.064976664225259e-06,,
0.4564,0.0269,0.2445,0.2722,0.0,0.0,0.0,,,8.08788521440597e-06,,
0.4857485748574858,0.0572057205720572,0.3122312231223122,0.1448144814481448,0.0,0.0,0.0,,,7.71381999969483e-06,,
0.476,0.0561,0.255,0.2128999999999999,0.0,0.0,0.0,,,7.068433340835571e-06,,
0.4667,0.055,0.2,0.2783,0.0,0.0,0.0,,,6.753703314463303e-06,,
0.4973497349734973,0.0879087908790879,0.2664266426642664,0.1483148314831483,0.0,0.0,0.0,,,6.60481288746425e-06,,
0.4774,0.0843999999999999,0.1535,0.2847,0.0,0.0,0.0,,,6.343566665204371e-06,,
0.5096,0.1201,0.2184,0.1519,0.0,0.0,0.0,,,6.339828338877358e-06,,
0.4989,0.1176,0.1604,0.2231,0.0,0.0,0.0,,,5.826136092794508e-06,,
0.4886999999999999,0.1152,0.1047,0.2914,0.0,0.0,0.0,,,5.66816833534241e-06,,
0.4789,0.1128999999999999,0.0513,0.3569,0.0,0.0,0.0,,,5.401463717823939e-06,,
0.5341,0.1574,0.2289,0.0796,0.0,0.0,0.0,,,5.939633326975502e-06,,
0.5112511251125113,0.1506150615061506,0.1095109510951095,0.2286228622862286,0.0,0.0,0.0,,,5.1273600067138686e-06,,
0.5549445055494451,0.2224777522247775,0.0,0.2225777422257774,0.0,0.0,0.0,,,2.896417929077147e-06,,
0.6478,0.106,0.0944999999999999,0.1517,0.0,0.0,0.0,,,4.25648291009826e-06,,
0.4871,0.015,0.3577,0.1402,0.0,0.0,0.0,,,8.709899992370604e-06,,
0.5945,0.0379,0.2239,0.1437,0.0,0.0,0.0,,,6.768733351389569e-06,,
0.5838,0.0791,0.1889999999999999,0.1481,0.0,0.0,0.0,,,5.712910003407789e-06,,
0.4927,0.0302999999999999,0.3350999999999999,0.1419,0.0,0.0,0.0,,,8.29129333241781e-06,,
0.4989,0.046,0.3114,0.1437,0.0,0.0,0.0,,,7.820843320210778e-06,,
0.4784,0.0513,0.3262,0.1441,0.0,0.0,0.0,,,8.00735333150228e-06,,
0.622,0.1189,0.1061999999999999,0.1528999999999999,0.0,0.0,0.0,,,4.279536679712931e-06,,
0.5737,0.1054,0.17,0.1509,0.0,0.0,0.0,,,5.180418328793844e-06,,
0.5909409059094091,0.1454854514548545,0.1080891910808919,0.1554844515548445,0.0,0.0,0.0,,,4.473784564290725e-06,,
0.5721,0.1522,0.1197,0.156,0.0,0.0,0.0,,,4.565067877406164e-06,,
0.4904,0.1651999999999999,0.1877,0.1567,0.0,0.0,0.0,,,5.533781680933632e-06,,
0.498,0.1866,0.1563,0.1591,0.0,0.0,0.0,,,4.914111665026344e-06,,
0.4525,0.1067,0.2909,0.1499,0.0,0.0,0.0,,,6.333970015462236e-06,,
0.4625999999999999,0.1363,0.2478,0.1533,0.0,0.0,0.0,,,6.725204999287917e-06,,
0.4686,0.0250999999999999,0.3652,0.1411,0.0,0.0,0.0,,,8.540599990844723e-06,,
0.4246999999999999,0.025,0.4096,0.1407,0.0,0.0,0.0,,,8.746775021870933e-06,,
0.4336,0.0511,0.3717,0.1436,0.0,0.0,0.0,,,8.156973341878252e-06,,
0.4429,0.0783,0.3321,0.1467,0.0,0.0,0.0,,,7.153440009752913e-06,,
0.4357999999999999,0.0981,0.3173,0.1488,0.0,0.0,0.0,,,7.0608133611043315e-06,,
0.385038503850385,0.0378037803780378,0.4354435443544354,0.1417141714171417,0.0,0.0,0.0,,,8.892070028177896e-06,,
0.3973397339733973,0.078007800780078,0.3784378437843784,0.1462146214621462,0.0,0.0,0.0,,,8.222537101745604e-06,,
0.406,0.1063,0.3383,0.1494,0.0,0.0,0.0,,,7.583603360493983e-06,,
0.3777,0.0628,0.4150999999999999,0.1444,0.0,0.0,0.0,,,8.418198960622149e-06,,
0.3653634636536346,0.0717928207179282,0.4175582441755824,0.1452854714528547,0.0,0.0,0.0,,,8.327508949279785e-06,,
0.3520647935206479,0.0777922207779222,0.4243575642435756,0.1457854214578542,0.0,0.0,0.0,,,8.389558947245278e-06,,
0.3596999999999999,0.106,0.3853999999999999,0.1489,0.0,0.0,0.0,,,8.269243335723878e-06,,
0.3367,0.1058,0.4088,0.1487,0.0,0.0,0.0,,,8.22624841117859e-06,,
0.270972902709729,0.1197880211978802,0.4596540345965403,0.1495850414958504,0.0,0.0,0.0,,,8.371112261199953e-06,,
0.5367536753675368,0.2017201720172017,0.1004100410041004,0.1611161116111611,0.0,0.0,0.0,,,4.888920000330609e-06,,
0.5196999999999999,0.2164,0.1013,0.1626,0.0,0.0,0.0,,,4.716853334681193e-06,,
0.5281,0.2394,0.0673,0.1651999999999999,0.0,0.0,0.0,,,4.8090000019073505e-06,,
0.4213,0.1172,0.3107,0.1508,0.0,0.0,0.0,,,6.979560066223147e-06,,
0.4104,0.1209,0.3176,0.1510999999999999,0.0,0.0,0.0,,,7.1206750679016155e-06,,
0.415,0.1359,0.2964,0.1527,0.0,0.0,0.0,,,6.404937523206074e-06,,
0.3677,0.1354,0.3447,0.1522,0.0,0.0,0.0,,,7.210845024108891e-06,,
0.376,0.1662,0.3021,0.1557,0.0,0.0,0.0,,,6.460575862990484e-06,,
0.3206320632063206,0.135013501350135,0.3926392639263926,0.1517151715171517,0.0,0.0,0.0,,,7.669007367451991e-06,,
0.3279,0.1656,0.3513,0.1552,0.0,0.0,0.0,,,7.294515042622885e-06,,
0.3354664533546645,0.1976802319768023,0.3080691930806919,0.1587841215878412,0.0,0.0,0.0,,,6.794699186960857e-06,,
0.2800719928007199,0.1650834916508349,0.4001599840015998,0.1546845315468453,0.0,0.0,0.0,,,7.42520467440288e-06,,
0.240975902409759,0.141985801419858,0.4652534746525348,0.1517848215178482,0.0,0.0,0.0,,,8.781146650695801e-06,,
0.2326232623262326,0.1645164516451645,0.4487448744874487,0.1541154115411541,0.0,0.0,0.0,,,8.075820063018804e-06,,
0.1876,0.1796,0.4774,0.1553999999999999,0.0,0.0,0.0,,,8.559382262374417e-06,,
0.4764,0.2688,0.0868999999999999,0.1679,0.0,0.0,0.0,,,4.859432619013106e-06,,
0.3810618938106189,0.024997500249975,0.4536546345365463,0.1402859714028597,0.0,0.0,0.0,,,9.701794571310378e-06,,
0.3447,0.0508,0.4617,0.1427999999999999,0.0,0.0,0.0,,,9.54765336405436e-06,,
0.3071,0.0776,0.47,0.1452999999999999,0.0,0.0,0.0,,,8.935339966837562e-06,,
0.3104,0.0914,0.4513,0.1469,0.0,0.0,0.0,,,8.465989996337893e-06,,
0.3377,0.0249,0.4975,0.1399,0.0,0.0,0.0,,,1.0329954564037027e-05,,
0.3227,0.0507,0.4841,0.1425,0.0,0.0,0.0,,,9.926856684621174e-06,,
0.2846999999999999,0.0774,0.4927999999999999,0.1450999999999999,0.0,0.0,0.0,,,9.408790065692716e-06,,
0.268,0.1053,0.4787,0.148,0.0,0.0,0.0,,,8.915204959615071e-06,,
0.2275,0.1341,0.4876,0.1508,0.0,0.0,0.0,,,9.316379597781946e-06,,
0.2176,0.1554,0.474,0.153,0.0,0.0,0.0,,,8.775040591130114e-06,,
0.6606000000000001,0.1324,0.0523,0.1547,0.0,0.0,0.0,,,3.5181851259095323e-06,,
0.6435,0.119,0.0843999999999999,0.1531,0.0,0.0,0.0,,,4.113542432545391e-06,,
0.6455000000000001,0.146,0.0524,0.1561,0.0,0.0,0.0,,,3.5343541769345596e-06,,
0.6127612761276128,0.1457145714571457,0.0858085808580858,0.1557155715571557,0.0,0.0,0.0,,,4.1789565454664665e-06,,
0.6221,0.1667,0.0530999999999999,0.1581,0.0,0.0,0.0,,,3.4900092894236246e-06,,
0.6286,0.181,0.0306999999999999,0.1597,0.0,0.0,0.0,,,3.18818570245107e-06,,
0.5675,0.1948,0.077,0.1607,0.0,0.0,0.0,,,4.261282466906592e-06,,
0.519,0.2791,0.0325,0.1694,0.0,0.0,0.0,,,4.499200000762938e-06,,
0.5009500950095009,0.2952295229522952,0.0328032803280328,0.171017101710171,0.0,0.0,0.0,,,4.5219916658401455e-06,,
0.2067,0.1489,0.4921999999999999,0.1522,0.0,0.0,0.0,,,9.211370329411822e-06,,
0.5617,0.1802,0.0991,0.159,0.0,0.0,0.0,,,4.399108105741228e-06,,
0.494,0.0926,0.2646,0.1488,0.0,0.0,0.0,,,6.635194784509565e-06,,
0.5337999999999999,0.2552,0.044,0.1669999999999999,0.0,0.0,0.0,,,4.6061000022888175e-06,,
0.4292,0.1065,0.3146,0.1497,0.0,0.0,0.0,,,7.077403365071616e-06,,
0.3636,0.1205,0.3653,0.1506,0.0,0.0,0.0,,,7.45093503570557e-06,,
0.2739,0.1344999999999999,0.4403,0.1513,0.0,0.0,0.0,,,8.09284452285767e-06,,
0.2022,0.1192,0.5297,0.1489,0.0,0.0,0.0,,,8.353054691407181e-06,,
0.5733426657334266,0.0281971802819718,0.255974402559744,0.1424857514248575,0.0,0.0,0.0,,,7.755233365376788e-06,,
0.5621,0.0276,0.2007999999999999,0.2095,0.0,0.0,0.0,,,7.425700107574469e-06,,
0.5512448755124488,0.0270972902709729,0.1476852314768523,0.273972602739726,0.0,0.0,0.0,,,7.128583371480307e-06,,
0.5307999999999999,0.0260999999999999,0.0474,0.3957,0.0,0.0,0.0,,,7.367253346761071e-06,,
0.5992000000000001,0.0588999999999999,0.2675,0.0744,0.0,0.0,0.0,,,6.658668425623573e-06,,
0.5869586958695869,0.0576057605760576,0.2096209620962096,0.1458145814581458,0.0,0.0,0.0,,,6.283513333066303e-06,,
0.5751,0.0565,0.1541,0.2143,0.0,0.0,0.0,,,5.53417669022878e-06,,
0.5637436256374363,0.0553944605539446,0.1006899310068993,0.2801719828017198,0.0,0.0,0.0,,,5.123633769861861e-06,,
0.5529,0.0542999999999999,0.0494,0.3434,0.0,0.0,0.0,,,5.100473029009503e-06,,
0.6139386061393861,0.0904909509049095,0.2192780721927807,0.0762923707629237,0.0,0.0,0.0,,,5.268283341089887e-06,,
0.6011,0.0886,0.161,0.1493,0.0,0.0,0.0,,,5.045196685536706e-06,,
0.5887588758875888,0.0867086708670867,0.1051105110511051,0.2194219421942194,0.0,0.0,0.0,,,4.901429370880129e-06,,
0.5768423157684232,0.084991500849915,0.0514948505149485,0.2866713328667133,0.0,0.0,0.0,,,4.445784487636506e-06,,
0.6295000000000001,0.1236999999999999,0.1686,0.0782,0.0,0.0,0.0,,,4.4071066599528e-06,,
0.616,0.121,0.11,0.153,0.0,0.0,0.0,,,4.3086095399402435e-06,,
0.603060306030603,0.1184118411841184,0.0538053805380538,0.2247224722472247,0.0,0.0,0.0,,,4.0780878356444515e-06,,
0.6459,0.1586,0.1153,0.0802,0.0,0.0,0.0,,,3.820146203813098e-06,,
0.6315999999999999,0.1551,0.0564,0.1568999999999999,0.0,0.0,0.0,,,3.494293151791891e-06,,
0.6361636163616362,0.0288028802880288,0.2621262126212621,0.0729072907290729,0.0,0.0,0.0,,,6.086423423639934e-06,,
0.611,0.0277,0.1510999999999999,0.2102,0.0,0.0,0.0,,,5.973741717656454e-06,,
0.6251374862513749,0.0566943305669433,0.1030896910308969,0.2150784921507849,0.0,0.0,0.0,,,4.656091754722595e-06,,
0.6128,0.0556,0.0504999999999999,0.2811,0.0,0.0,0.0,,,4.433694661194938e-06,,
0.6675332466753325,0.0907909209079092,0.1650834916508349,0.0765923407659234,0.0,0.0,0.0,,,4.712603321202597e-06,,
0.6535000000000001,0.0889,0.1077,0.1499,0.0,0.0,0.0,,,4.88801325963338e-06,,
0.64,0.087,0.0528,0.2202,0.0,0.0,0.0,,,3.777758846855165e-06,,
0.9653,0.0,0.0,0.0,0.0,0.0347,0.0,66.0,,9.8287150579998e-07,,
0.4742,0.1115,0.3361,0.0782,0.0,0.0,0.0,,,7.107701643625896e-06,,
0.4982,0.1065,0.3203,0.075,0.0,0.0,0.0,,,6.767014979362491e-06,,
0.5165483451654834,0.1022897710228977,0.3091690830916908,0.071992800719928,0.0,0.0,0.0,,,6.698976648012798e-06,,
0.5567,0.0942,0.2834,0.0657,0.0,0.0,0.0,,,6.301719988822938e-06,,
0.4416558344165583,0.1732826717328267,0.3127687231276872,0.0722927707229277,0.0,0.0,0.0,,,6.563687022145589e-06,,
0.4172,0.2184,0.2949,0.0695,0.0,0.0,0.0,,,6.288443061934576e-06,,
0.5188,0.0755,0.0,0.4057,0.0,0.0,0.0,,,5.421418589186294e-06,,
0.5253,0.1012,0.0,0.3735,0.0,0.0,0.0,,,5.089174565378827e-06,,
0.5287,0.1147,0.0,0.3566,0.0,0.0,0.0,,,5.0576013018290225e-06,,
0.5513,0.2053,0.0,0.2434,0.0,0.0,0.0,,,2.590980647087096e-06,,
0.4558455845584558,0.1225122512251225,0.0,0.4216421642164216,0.0,0.0,0.0,,,5.094804610051049e-06,,
0.5202,0.1869,0.0,0.2929,0.0,0.0,0.0,,,4.0061515140533435e-06,,
0.5434,0.2101,0.0,0.2465,0.0,0.0,0.0,,,2.4218700717925992e-06,,
0.5495,0.2161,0.0,0.2344,0.0,0.0,0.0,,,3.0186461936042428e-06,,
0.65,0.0,0.35,0.0,0.0,0.0,0.0,,2.680000066757202,7.521100036621104e-06,,
0.6,0.0,0.4,0.0,0.0,0.0,0.0,,2.789999961853028,8.208300003051757e-06,,
0.55,0.0,0.45,0.0,0.0,0.0,0.0,,2.8499999046325684,9.748385721697123e-06,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.200000047683716,6e-07,,
0.4429,0.0,0.5571,0.0,0.0,0.0,0.0,,,1.162556666666667e-05,,
0.4997999999999999,0.0,0.5002,0.0,0.0,0.0,0.0,,,9.464866708543569e-06,,
0.5428999999999999,0.0,0.4571,0.0,0.0,0.0,0.0,,,9.71308572627476e-06,,
0.5832999999999999,0.0,0.4167,0.0,0.0,0.0,0.0,,,9.333073927951995e-06,,
0.6138,0.0,0.3862,0.0,0.0,0.0,0.0,,,7.992616661834715e-06,,
0.4911999999999999,0.0,0.0,0.5088,0.0,0.0,0.0,,,7.3886633491516104e-06,,
0.5225,0.0,0.0,0.4775,0.0,0.0,0.0,,,7.365330013275145e-06,,
0.5439,0.0,0.0,0.4561,0.0,0.0,0.0,,,6.788593355814618e-06,,
0.5329999999999999,0.0,0.467,0.0,0.0,0.0,0.0,,,9.458513546244307e-06,,
0.483,0.0,0.517,0.0,0.0,0.0,0.0,,,1.0303933430989586e-05,,
0.414,0.0,0.586,0.0,0.0,0.0,0.0,,,1.1901950000000009e-05,,
0.385,0.0,0.615,0.0,0.0,0.0,0.0,,,1.1889950000000008e-05,,
0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.4835134761133125e-05,,
0.02,0.0,0.0,0.0,0.0,0.98,0.0,,,1.4835134761133125e-05,,
0.6934,0.1524,0.0,0.1542,0.0,0.0,0.0,,,2.7583114579700296e-06,,
0.7302,0.1341,0.0,0.1357,0.0,0.0,0.0,,,2.8569987988880683e-06,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.20199990272522,4.784011594634452e-07,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.784011594634452e-07,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9000015258789,,4.784011594634452e-07,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.69999694824219,2.20199990272522,4.0999999046325683e-07,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.784011594634452e-07,,
0.2242,0.2138,0.4804,0.0816,0.0,0.0,0.0,,,8.87653009397333e-06,,
0.2257,0.2097,0.4836,0.081,0.0,0.0,0.0,,,9.387304849996187e-06,,
0.2106789321067893,0.2165783421657834,0.4515548445155484,0.1211878812118788,0.0,0.0,0.0,,,8.022575682322183e-06,,
0.2167,0.2207,0.4643,0.0983,0.0,0.0,0.0,,,8.911327104568483e-06,,
0.2102,0.2531,0.4503999999999999,0.0863,0.0,0.0,0.0,,,8.320663593928017e-06,,
0.2181,0.2307999999999999,0.4675,0.0836,0.0,0.0,0.0,,,8.963093765894573e-06,,
0.3811,0.1675,0.4046,0.0467999999999999,0.0,0.0,0.0,,,7.101138041496283e-06,,
0.3483651634836516,0.1656834316568343,0.4470552944705529,0.0388961103889611,0.0,0.0,0.0,,,7.870018473052983e-06,,
0.3075,0.1652,0.4887,0.0386,0.0,0.0,0.0,,,9.31134185108828e-06,,
0.4844,0.1702,0.2903,0.0550999999999999,0.0,0.0,0.0,,,6.121951749638152e-06,,
0.4281,0.1694999999999999,0.3477,0.0547,0.0,0.0,0.0,,,6.845025315856931e-06,,
0.4136999999999999,0.1873999999999999,0.2434,0.1555,0.0,0.0,0.0,,,6.111745025253295e-06,,
0.3751624837516248,0.1702829717028297,0.3923607639236076,0.0621937806219378,0.0,0.0,0.0,,,7.306889483197532e-06,,
0.2922,0.1773999999999999,0.4229,0.1075,0.0,0.0,0.0,,,7.400761118570967e-06,,
0.4571,0.1796,0.2537,0.1096,0.0,0.0,0.0,,,6.075479951222736e-06,,
0.478,0.1729,0.2782,0.0709,0.0,0.0,0.0,,,6.1252248427981426e-06,,
0.4428442844284428,0.1808180818081808,0.2591259125912591,0.1172117211721172,0.0,0.0,0.0,,,6.093386649322508e-06,,
0.4282999999999999,0.1834,0.2556,0.1326999999999999,0.0,0.0,0.0,,,5.878056648254392e-06,,
0.4525,0.174,0.2951,0.0784,0.0,0.0,0.0,,,6.482363093566898e-06,,
0.4174417441744174,0.1819181918191819,0.2759275927592759,0.1247124712471247,0.0,0.0,0.0,,,5.979355611038206e-06,,
0.4276427642764276,0.1723172317231723,0.3297329732973297,0.0703070307030703,0.0,0.0,0.0,,,6.595697006607058e-06,,
0.4058,0.1692,0.3703,0.0547,0.0,0.0,0.0,,,6.838870198567702e-06,,
0.3942,0.1718,0.3638,0.0702,0.0,0.0,0.0,,,6.87658472569783e-06,,
